FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:26:30

Total deployment events: 246
Number of node-function combinations: 116

Event Type Summary:
  Deployment events: 3
  Replica events: 164
  Network events: 79

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
  Total events: 1

nuc_10 → rpi4_3 - unknown:
--------------------------
  t=   9.6s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_4 - unknown:
--------------------------
  t=   4.2s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → rpi4_5 - unknown:
--------------------------
  t=   4.6s - data_download (45.8 MB) [network]
  Total events: 1

nuc_10 → tx2_0 - unknown:
-------------------------
  t=   4.0s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → tx2_1 - unknown:
-------------------------
  t=   4.4s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → tx2_11 - unknown:
--------------------------
  t=   2.3s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → tx2_13 - unknown:
--------------------------
  t=   7.1s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → tx2_19 - unknown:
--------------------------
  t=   7.5s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → tx2_4 - unknown:
-------------------------
  t=   9.4s - data_download (98.2 MB) [network]
  Total events: 1

nuc_10 → tx2_5 - unknown:
-------------------------
  t=   5.2s - data_download (98.2 MB) [network]
  Total events: 1

nx_4 - resnet50-inference:
--------------------------
  t=  52.0s - deploy replica of resnet50-inference [replica]
  t=  57.0s - startup replica of resnet50-inference [replica]
  t=  58.0s - setup replica of resnet50-inference [replica]
  t=  59.0s - finish replica of resnet50-inference [replica]
  Total events: 4

nx_4 - speech-inference:
------------------------
  t=  77.0s - deploy replica of speech-inference [replica]
  t=  78.0s - startup replica of speech-inference [replica]
  t=  79.0s - setup replica of speech-inference [replica]
  t=  80.0s - finish replica of speech-inference [replica]
  Total events: 4

registry → coral_11 - unknown:
------------------------------
  t=   3.7s - docker_pull (38.1 MB) [network]
  Total events: 1

registry → coral_6 - unknown:
-----------------------------
  t=   6.1s - docker_pull (38.1 MB) [network]
  Total events: 1

registry → coral_9 - unknown:
-----------------------------
  t=   3.3s - docker_pull (38.1 MB) [network]
  Total events: 1

registry → nano_12 - unknown:
-----------------------------
  t=   2.7s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_15 - unknown:
-----------------------------
  t=   9.7s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_18 - unknown:
-----------------------------
  t=   5.5s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_21 - unknown:
-----------------------------
  t=   3.1s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_31 - unknown:
-----------------------------
  t=   7.7s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_37 - unknown:
-----------------------------
  t=   8.1s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_43 - unknown:
-----------------------------
  t=   5.9s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_46 - unknown:
-----------------------------
  t=   3.5s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_48 - unknown:
-----------------------------
  t=   6.3s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_49 - unknown:
-----------------------------
  t=   6.7s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_50 - unknown:
-----------------------------
  t=   8.5s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nano_52 - unknown:
-----------------------------
  t=   8.9s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → nx_4 - unknown:
--------------------------
  t=   4.7s - docker_pull (95.4 MB) [network]
  t=   5.7s - docker_pull (38.1 MB) [network]
  Total events: 2

registry → rockpi_16 - unknown:
-------------------------------
  t=   6.5s - docker_pull (38.1 MB) [network]
  Total events: 1

registry → rockpi_18 - unknown:
-------------------------------
  t=   2.0s - docker_pull (38.1 MB) [network]
  t=   2.4s - docker_pull (182.2 MB) [network]
  Total events: 2

registry → rockpi_5 - unknown:
------------------------------
  t=   7.2s - docker_pull (38.1 MB) [network]
  Total events: 1

registry → rpi3_3 - unknown:
----------------------------
  t=   7.9s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi3_4 - unknown:
----------------------------
  t=   8.3s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi3_5 - unknown:
----------------------------
  t=   8.7s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_0 - unknown:
----------------------------
  t=   2.5s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_1 - unknown:
----------------------------
  t=   2.9s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_12 - unknown:
-----------------------------
  t=   4.9s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_13 - unknown:
-----------------------------
  t=   5.3s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_2 - unknown:
----------------------------
  t=   9.1s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_3 - unknown:
----------------------------
  t=   9.5s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_4 - unknown:
----------------------------
  t=   4.1s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → rpi4_5 - unknown:
----------------------------
  t=   4.5s - docker_pull (31.5 MB) [network]
  Total events: 1

registry → tx2_0 - unknown:
---------------------------
  t=   3.9s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → tx2_1 - unknown:
---------------------------
  t=   4.3s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → tx2_11 - unknown:
----------------------------
  t=   2.1s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → tx2_13 - unknown:
----------------------------
  t=   7.0s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → tx2_19 - unknown:
----------------------------
  t=   7.4s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → tx2_4 - unknown:
---------------------------
  t=   9.3s - docker_pull (95.4 MB) [network]
  Total events: 1

registry → tx2_5 - unknown:
---------------------------
  t=   5.1s - docker_pull (95.4 MB) [network]
  Total events: 1

rockpi_16 - speech-inference:
-----------------------------
  t=  93.0s - deploy replica of speech-inference [replica]
  t=  94.0s - startup replica of speech-inference [replica]
  t=  95.0s - setup replica of speech-inference [replica]
  t=  96.0s - finish replica of speech-inference [replica]
  t= 101.0s - deploy replica of speech-inference [replica]
  t= 102.0s - startup replica of speech-inference [replica]
  t= 103.0s - setup replica of speech-inference [replica]
  t= 104.0s - finish replica of speech-inference [replica]
  Total events: 8

rockpi_18 - resnet50-preprocessing:
-----------------------------------
  t=   2.0s - deploy replica of resnet50-preprocessing [replica]
  t=   9.0s - startup replica of resnet50-preprocessing [replica]
  t=  10.0s - setup replica of resnet50-preprocessing [replica]
  t=  11.0s - finish replica of resnet50-preprocessing [replica]
  Total events: 4

rockpi_18 - speech-inference:
-----------------------------
  t=   1.0s - deploy replica of speech-inference [replica]
  t=   3.0s - startup replica of speech-inference [replica]
  t=   4.0s - setup replica of speech-inference [replica]
  t=   7.0s - finish replica of speech-inference [replica]
  Total events: 4

rockpi_5 - speech-inference:
----------------------------
  t= 109.0s - deploy replica of speech-inference [replica]
  t= 110.0s - startup replica of speech-inference [replica]
  t= 111.0s - setup replica of speech-inference [replica]
  t= 112.0s - finish replica of speech-inference [replica]
  t= 117.0s - deploy replica of speech-inference [replica]
  t= 118.0s - startup replica of speech-inference [replica]
  t= 119.0s - setup replica of speech-inference [replica]
  t= 120.0s - finish replica of speech-inference [replica]
  Total events: 8

rpi3_3 - speech-inference:
--------------------------
  t= 125.0s - deploy replica of speech-inference [replica]
  t= 126.0s - startup replica of speech-inference [replica]
  t= 127.0s - setup replica of speech-inference [replica]
  t= 128.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi3_4 - speech-inference:
--------------------------
  t= 133.0s - deploy replica of speech-inference [replica]
  t= 134.0s - startup replica of speech-inference [replica]
  t= 135.0s - setup replica of speech-inference [replica]
  t= 136.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi3_5 - speech-inference:
--------------------------
  t= 141.0s - deploy replica of speech-inference [replica]
  t= 142.0s - startup replica of speech-inference [replica]
  t= 143.0s - setup replica of speech-inference [replica]
  t= 144.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_0 - speech-inference:
--------------------------
  t=  13.0s - deploy replica of speech-inference [replica]
  t=  14.0s - startup replica of speech-inference [replica]
  t=  15.0s - setup replica of speech-inference [replica]
  t=  16.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_1 - speech-inference:
--------------------------
  t=  21.0s - deploy replica of speech-inference [replica]
  t=  22.0s - startup replica of speech-inference [replica]
  t=  23.0s - setup replica of speech-inference [replica]
  t=  24.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_12 - speech-inference:
---------------------------
  t=  61.0s - deploy replica of speech-inference [replica]
  t=  62.0s - startup replica of speech-inference [replica]
  t=  63.0s - setup replica of speech-inference [replica]
  t=  64.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_13 - speech-inference:
---------------------------
  t=  69.0s - deploy replica of speech-inference [replica]
  t=  70.0s - startup replica of speech-inference [replica]
  t=  71.0s - setup replica of speech-inference [replica]
  t=  72.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_2 - speech-inference:
--------------------------
  t= 149.0s - deploy replica of speech-inference [replica]
  t= 150.0s - startup replica of speech-inference [replica]
  t= 151.0s - setup replica of speech-inference [replica]
  t= 152.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_3 - speech-inference:
--------------------------
  t= 157.0s - deploy replica of speech-inference [replica]
  t= 158.0s - startup replica of speech-inference [replica]
  t= 159.0s - setup replica of speech-inference [replica]
  t= 160.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_4 - speech-inference:
--------------------------
  t=  45.0s - deploy replica of speech-inference [replica]
  t=  46.0s - startup replica of speech-inference [replica]
  t=  47.0s - setup replica of speech-inference [replica]
  t=  48.0s - finish replica of speech-inference [replica]
  Total events: 4

rpi4_5 - speech-inference:
--------------------------
  t=  53.0s - deploy replica of speech-inference [replica]
  t=  54.0s - startup replica of speech-inference [replica]
  t=  55.0s - setup replica of speech-inference [replica]
  t=  56.0s - finish replica of speech-inference [replica]
  Total events: 4

tx2_0 - resnet50-inference:
---------------------------
  t=  36.0s - deploy replica of resnet50-inference [replica]
  t=  41.0s - startup replica of resnet50-inference [replica]
  t=  42.0s - setup replica of resnet50-inference [replica]
  t=  43.0s - finish replica of resnet50-inference [replica]
  Total events: 4

tx2_1 - resnet50-inference:
---------------------------
  t=  44.0s - deploy replica of resnet50-inference [replica]
  t=  49.0s - startup replica of resnet50-inference [replica]
  t=  50.0s - setup replica of resnet50-inference [replica]
  t=  51.0s - finish replica of resnet50-inference [replica]
  Total events: 4

tx2_11 - resnet50-inference:
----------------------------
  t=   0.0s - deploy replica of resnet50-inference [replica]
  t=   5.0s - startup replica of resnet50-inference [replica]
  t=   6.0s - setup replica of resnet50-inference [replica]
  t=   8.0s - finish replica of resnet50-inference [replica]
  Total events: 4

tx2_13 - resnet50-inference:
----------------------------
  t= 100.0s - deploy replica of resnet50-inference [replica]
  t= 105.0s - startup replica of resnet50-inference [replica]
  t= 106.0s - setup replica of resnet50-inference [replica]
  t= 107.0s - finish replica of resnet50-inference [replica]
  Total events: 4

tx2_19 - resnet50-inference:
----------------------------
  t= 108.0s - deploy replica of resnet50-inference [replica]
  t= 113.0s - startup replica of resnet50-inference [replica]
  t= 114.0s - setup replica of resnet50-inference [replica]
  t= 115.0s - finish replica of resnet50-inference [replica]
  Total events: 4

tx2_4 - resnet50-inference:
---------------------------
  t= 148.0s - deploy replica of resnet50-inference [replica]
  t= 153.0s - startup replica of resnet50-inference [replica]
  t= 154.0s - setup replica of resnet50-inference [replica]
  t= 155.0s - finish replica of resnet50-inference [replica]
  Total events: 4

tx2_5 - resnet50-inference:
---------------------------
  t=  60.0s - deploy replica of resnet50-inference [replica]
  t=  65.0s - startup replica of resnet50-inference [replica]
  t=  66.0s - setup replica of resnet50-inference [replica]
  t=  67.0s - finish replica of resnet50-inference [replica]
  Total events: 4

NODE SUMMARY
============

Node: coral_11
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: coral_6
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: coral_9
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: global
  Deployment events: 3
  Replica events: 0
  Network events: 0
  Functions involved: 3
  Function list: resnet50-inference, resnet50-preprocessing, speech-inference

Node: nano_12
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_15
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_18
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_21
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_31
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_37
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_43
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_46
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_48
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_49
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_50
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nano_52
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: nuc_10 → coral_11
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → coral_6
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → coral_9
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_12
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_15
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_18
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_21
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_31
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_37
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_43
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_46
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_48
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_49
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_50
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nano_52
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → nx_4
  Deployment events: 0
  Replica events: 0
  Network events: 2
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rockpi_16
  Deployment events: 0
  Replica events: 0
  Network events: 2
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rockpi_18
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rockpi_5
  Deployment events: 0
  Replica events: 0
  Network events: 2
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi3_3
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi3_4
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi3_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_0
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_1
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_12
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_13
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_2
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_3
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_4
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → rpi4_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_0
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_1
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_11
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_13
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_19
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_4
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nuc_10 → tx2_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: nx_4
  Deployment events: 0
  Replica events: 8
  Network events: 0
  Functions involved: 2
  Function list: resnet50-inference, speech-inference

Node: registry → coral_11
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → coral_6
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → coral_9
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_12
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_15
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_18
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_21
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_31
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_37
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_43
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_46
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_48
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_49
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_50
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nano_52
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → nx_4
  Deployment events: 0
  Replica events: 0
  Network events: 2
  Functions involved: 1
  Function list: unknown

Node: registry → rockpi_16
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rockpi_18
  Deployment events: 0
  Replica events: 0
  Network events: 2
  Functions involved: 1
  Function list: unknown

Node: registry → rockpi_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi3_3
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi3_4
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi3_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_0
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_1
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_12
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_13
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_2
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_3
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_4
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → rpi4_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_0
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_1
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_11
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_13
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_19
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_4
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: registry → tx2_5
  Deployment events: 0
  Replica events: 0
  Network events: 1
  Functions involved: 1
  Function list: unknown

Node: rockpi_16
  Deployment events: 0
  Replica events: 8
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rockpi_18
  Deployment events: 0
  Replica events: 8
  Network events: 0
  Functions involved: 2
  Function list: resnet50-preprocessing, speech-inference

Node: rockpi_5
  Deployment events: 0
  Replica events: 8
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi3_3
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi3_4
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi3_5
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_0
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_1
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_12
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_13
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_2
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_3
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_4
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: rpi4_5
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: speech-inference

Node: tx2_0
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: tx2_1
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: tx2_11
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: tx2_13
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: tx2_19
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: tx2_4
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

Node: tx2_5
  Deployment events: 0
  Replica events: 4
  Network events: 0
  Functions involved: 1
  Function list: resnet50-inference

FUNCTION SUMMARY
================

Function: resnet50-inference
  Deployment events: 1
  Replica events: 80
  Network events: 0
  Nodes involved: 21
  Node list: global, nano_12, nano_15, nano_18, nano_21, nano_31, nano_37, nano_43, nano_46, nano_48, nano_49, nano_50, nano_52, nx_4, tx2_0, tx2_1, tx2_11, tx2_13, tx2_19, tx2_4, tx2_5

Function: resnet50-preprocessing
  Deployment events: 1
  Replica events: 4
  Network events: 0
  Nodes involved: 2
  Node list: global, rockpi_18

Function: speech-inference
  Deployment events: 1
  Replica events: 80
  Network events: 0
  Nodes involved: 19
  Node list: coral_11, coral_6, coral_9, global, nx_4, rockpi_16, rockpi_18, rockpi_5, rpi3_3, rpi3_4, rpi3_5, rpi4_0, rpi4_1, rpi4_12, rpi4_13, rpi4_2, rpi4_3, rpi4_4, rpi4_5

Function: unknown
  Deployment events: 0
  Replica events: 0
  Network events: 79
  Nodes involved: 74
