FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:47:59

Total deployment events: 3096
Number of node-function combinations: 1291

Event Type Summary:
  Deployment events: 23
  Replica events: 1820
  Network events: 1253

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t= 470.0s | replica    | nano_1257            | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t= 471.0s | replica    | nx_395               | resnet50-inference        | startup replica of resnet50-inference
t= 472.0s | replica    | nx_395               | resnet50-inference        | setup replica of resnet50-inference
t= 473.0s | replica    | tx2_259              | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t= 474.0s | replica    | tx2_259              | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t= 475.0s | replica    | nano_608             | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t= 476.0s | replica    | nano_608             | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t= 477.0s | replica    | nano_913             | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t= 478.0s | replica    | nano_913             | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t= 479.0s | replica    | nx_210               | resnet50-inference-residential | startup replica of resnet50-inference-residential
t= 480.0s | replica    | nx_210               | resnet50-inference-residential | setup replica of resnet50-inference-residential
t= 481.0s | replica    | rpi3_222             | speech-inference-commercial | startup replica of speech-inference-commercial
t= 482.0s | replica    | rpi3_222             | speech-inference-commercial | setup replica of speech-inference-commercial
t= 483.0s | replica    | nx_224               | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t= 484.0s | replica    | nx_224               | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t= 485.0s | replica    | rpi3_223             | speech-inference-airport  | startup replica of speech-inference-airport
t= 486.0s | replica    | rpi3_223             | speech-inference-airport  | setup replica of speech-inference-airport
t= 487.0s | replica    | tx2_268              | resnet50-inference-airport | startup replica of resnet50-inference-airport
t= 488.0s | replica    | tx2_268              | resnet50-inference-airport | setup replica of resnet50-inference-airport
t= 489.0s | replica    | nano_273             | resnet50-inference-port   | startup replica of resnet50-inference-port
t= 490.0s | replica    | nano_273             | resnet50-inference-port   | setup replica of resnet50-inference-port
t= 491.0s | replica    | rpi3_459             | speech-inference-suburb   | finish replica of speech-inference-suburb
t= 492.0s | replica    | nano_478             | resnet50-training         | startup replica of resnet50-training
t= 493.0s | replica    | nano_478             | resnet50-training         | setup replica of resnet50-training
t= 494.0s | replica    | nano_478             | resnet50-training         | finish replica of resnet50-training
t= 495.0s | replica    | nano_1216            | resnet50-training-downtown | startup replica of resnet50-training-downtown
t= 496.0s | replica    | nano_1216            | resnet50-training-downtown | setup replica of resnet50-training-downtown
t= 497.0s | replica    | nano_1216            | resnet50-training-downtown | finish replica of resnet50-training-downtown
t= 498.0s | replica    | nano_1257            | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t= 499.0s | replica    | nano_1257            | resnet50-training-suburb  | setup replica of resnet50-training-suburb
t= 500.0s | replica    | nano_1257            | resnet50-training-suburb  | finish replica of resnet50-training-suburb
t= 501.0s | replica    | nx_83                | speech-inference          | finish replica of speech-inference
t= 502.0s | replica    | nx_169               | speech-inference-downtown | finish replica of speech-inference-downtown
t= 503.0s | replica    | rpi3_460             | speech-inference-industrial | finish replica of speech-inference-industrial
t= 504.0s | replica    | rpi4_298             | speech-inference-commercial | finish replica of speech-inference-commercial
t= 505.0s | replica    | tx2_6                | resnet50-inference        | deploy replica of resnet50-inference
t= 506.0s | replica    | tx2_7                | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t= 507.0s | replica    | nx_131               | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t= 508.0s | replica    | nano_407             | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t= 509.0s | replica    | nano_694             | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t= 510.0s | replica    | nano_765             | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t= 511.0s | replica    | nano_816             | resnet50-inference-airport | deploy replica of resnet50-inference-airport
t= 512.0s | replica    | nano_297             | resnet50-inference-port   | deploy replica of resnet50-inference-port
t= 513.0s | replica    | rpi3_224             | speech-inference          | deploy replica of speech-inference
t= 514.0s | replica    | nx_221               | speech-inference-downtown | deploy replica of speech-inference-downtown
t= 515.0s | replica    | rpi4_88              | speech-inference-suburb   | deploy replica of speech-inference-suburb
t= 516.0s | replica    | rpi4_89              | speech-inference-industrial | deploy replica of speech-inference-industrial
t= 517.0s | replica    | rockpi_415           | speech-inference-residential | deploy replica of speech-inference-residential
t= 518.0s | replica    | rockpi_415           | speech-inference-commercial | deploy replica of speech-inference-commercial
t= 519.0s | replica    | rockpi_415           | speech-inference-commercial | startup replica of speech-inference-commercial
t= 520.0s | replica    | rockpi_415           | speech-inference-commercial | setup replica of speech-inference-commercial
t= 521.0s | replica    | rockpi_23            | speech-inference-airport  | deploy replica of speech-inference-airport
t= 522.0s | replica    | nano_456             | resnet50-training         | deploy replica of resnet50-training
t= 523.0s | replica    | nano_764             | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t= 524.0s | replica    | rpi3_224             | speech-inference          | startup replica of speech-inference
t= 525.0s | replica    | rpi3_224             | speech-inference          | setup replica of speech-inference
t= 526.0s | replica    | nano_879             | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t= 527.0s | replica    | rpi4_88              | speech-inference-suburb   | startup replica of speech-inference-suburb
t= 528.0s | replica    | rpi4_88              | speech-inference-suburb   | setup replica of speech-inference-suburb
t= 529.0s | replica    | nx_221               | speech-inference-downtown | startup replica of speech-inference-downtown
t= 530.0s | replica    | nx_221               | speech-inference-downtown | setup replica of speech-inference-downtown
t= 531.0s | replica    | rpi4_89              | speech-inference-industrial | startup replica of speech-inference-industrial
t= 532.0s | replica    | rpi4_89              | speech-inference-industrial | setup replica of speech-inference-industrial
t= 533.0s | replica    | rockpi_415           | speech-inference-residential | startup replica of speech-inference-residential
t= 534.0s | replica    | rockpi_415           | speech-inference-residential | setup replica of speech-inference-residential
t= 535.0s | replica    | rockpi_23            | speech-inference-airport  | startup replica of speech-inference-airport
t= 536.0s | replica    | rockpi_23            | speech-inference-airport  | setup replica of speech-inference-airport
t= 537.0s | replica    | tx2_6                | resnet50-inference        | startup replica of resnet50-inference
t= 538.0s | replica    | tx2_6                | resnet50-inference        | setup replica of resnet50-inference
t= 539.0s | replica    | tx2_7                | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t= 540.0s | replica    | tx2_7                | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t= 541.0s | replica    | nx_131               | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t= 542.0s | replica    | nx_131               | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t= 543.0s | replica    | nano_407             | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t= 544.0s | replica    | nano_407             | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t= 545.0s | replica    | nano_694             | resnet50-inference-residential | startup replica of resnet50-inference-residential
t= 546.0s | replica    | nano_694             | resnet50-inference-residential | setup replica of resnet50-inference-residential
t= 547.0s | replica    | nano_765             | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t= 548.0s | replica    | nano_765             | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t= 549.0s | replica    | nano_816             | resnet50-inference-airport | startup replica of resnet50-inference-airport
t= 550.0s | replica    | nano_816             | resnet50-inference-airport | setup replica of resnet50-inference-airport
t= 551.0s | replica    | nano_297             | resnet50-inference-port   | startup replica of resnet50-inference-port
t= 552.0s | replica    | nano_297             | resnet50-inference-port   | setup replica of resnet50-inference-port
t= 553.0s | replica    | nano_456             | resnet50-training         | startup replica of resnet50-training
t= 554.0s | replica    | nano_456             | resnet50-training         | setup replica of resnet50-training
t= 555.0s | replica    | nano_456             | resnet50-training         | finish replica of resnet50-training
t= 556.0s | replica    | nano_764             | resnet50-training-downtown | startup replica of resnet50-training-downtown
t= 557.0s | replica    | nano_764             | resnet50-training-downtown | setup replica of resnet50-training-downtown
t= 558.0s | replica    | nano_764             | resnet50-training-downtown | finish replica of resnet50-training-downtown
t= 559.0s | replica    | nano_879             | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t= 560.0s | replica    | nano_879             | resnet50-training-suburb  | setup replica of resnet50-training-suburb
t= 561.0s | replica    | nano_879             | resnet50-training-suburb  | finish replica of resnet50-training-suburb
t= 562.0s | replica    | nano_1180            | resnet50-inference        | deploy replica of resnet50-inference
t= 563.0s | replica    | nx_366               | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t= 564.0s | replica    | nano_115             | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t= 565.0s | replica    | nano_258             | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t= 566.0s | replica    | nano_775             | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t= 567.0s | replica    | nx_279               | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t= 568.0s | replica    | nano_508             | resnet50-inference-airport | deploy replica of resnet50-inference-airport
t= 569.0s | replica    | nano_829             | resnet50-inference-port   | deploy replica of resnet50-inference-port
t= 570.0s | replica    | rockpi_23            | speech-inference          | deploy replica of speech-inference
t= 571.0s | replica    | rockpi_23            | speech-inference          | startup replica of speech-inference
t= 572.0s | replica    | rockpi_23            | speech-inference          | setup replica of speech-inference
t= 573.0s | replica    | rpi3_354             | speech-inference-downtown | deploy replica of speech-inference-downtown
t= 574.0s | replica    | rpi3_355             | speech-inference-suburb   | deploy replica of speech-inference-suburb
t= 575.0s | replica    | rpi3_356             | speech-inference-industrial | deploy replica of speech-inference-industrial
t= 576.0s | replica    | rockpi_376           | speech-inference-residential | deploy replica of speech-inference-residential
t= 577.0s | replica    | rockpi_376           | speech-inference-commercial | deploy replica of speech-inference-commercial
t= 578.0s | replica    | rockpi_376           | speech-inference-commercial | startup replica of speech-inference-commercial
t= 579.0s | replica    | rockpi_376           | speech-inference-commercial | setup replica of speech-inference-commercial
t= 580.0s | replica    | coral_218            | speech-inference-airport  | deploy replica of speech-inference-airport
t= 581.0s | replica    | nx_0                 | resnet50-training         | deploy replica of resnet50-training
t= 582.0s | replica    | nx_318               | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t= 583.0s | replica    | nano_421             | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t= 584.0s | replica    | rpi3_354             | speech-inference-downtown | startup replica of speech-inference-downtown
t= 585.0s | replica    | rpi3_354             | speech-inference-downtown | setup replica of speech-inference-downtown
t= 586.0s | replica    | rpi3_355             | speech-inference-suburb   | startup replica of speech-inference-suburb
t= 587.0s | replica    | rpi3_355             | speech-inference-suburb   | setup replica of speech-inference-suburb
t= 588.0s | replica    | rpi3_356             | speech-inference-industrial | startup replica of speech-inference-industrial
t= 589.0s | replica    | rpi3_356             | speech-inference-industrial | setup replica of speech-inference-industrial
t= 590.0s | replica    | rockpi_376           | speech-inference-residential | startup replica of speech-inference-residential
t= 591.0s | replica    | rockpi_376           | speech-inference-residential | setup replica of speech-inference-residential
t= 592.0s | replica    | coral_218            | speech-inference-airport  | startup replica of speech-inference-airport
t= 593.0s | replica    | coral_218            | speech-inference-airport  | setup replica of speech-inference-airport
t= 594.0s | replica    | nano_1180            | resnet50-inference        | startup replica of resnet50-inference
t= 595.0s | replica    | nano_1180            | resnet50-inference        | setup replica of resnet50-inference
t= 596.0s | replica    | nx_366               | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t= 597.0s | replica    | nx_366               | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t= 598.0s | replica    | nano_115             | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t= 599.0s | replica    | nano_115             | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t= 600.0s | replica    | nano_258             | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t= 601.0s | replica    | nano_258             | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t= 602.0s | replica    | nano_775             | resnet50-inference-residential | startup replica of resnet50-inference-residential
t= 603.0s | replica    | nano_775             | resnet50-inference-residential | setup replica of resnet50-inference-residential
t= 604.0s | replica    | nx_279               | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t= 605.0s | replica    | nx_279               | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t= 606.0s | replica    | nano_508             | resnet50-inference-airport | startup replica of resnet50-inference-airport
t= 607.0s | replica    | nano_508             | resnet50-inference-airport | setup replica of resnet50-inference-airport
t= 608.0s | replica    | nano_829             | resnet50-inference-port   | startup replica of resnet50-inference-port
t= 609.0s | replica    | nano_829             | resnet50-inference-port   | setup replica of resnet50-inference-port
t= 610.0s | replica    | nx_0                 | resnet50-training         | startup replica of resnet50-training
t= 611.0s | replica    | nx_0                 | resnet50-training         | setup replica of resnet50-training
t= 612.0s | replica    | nx_0                 | resnet50-training         | finish replica of resnet50-training
t= 613.0s | replica    | nx_318               | resnet50-training-downtown | startup replica of resnet50-training-downtown
t= 614.0s | replica    | nx_318               | resnet50-training-downtown | setup replica of resnet50-training-downtown
t= 615.0s | replica    | nx_318               | resnet50-training-downtown | finish replica of resnet50-training-downtown
t= 616.0s | replica    | nano_421             | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t= 617.0s | replica    | nano_421             | resnet50-training-suburb  | setup replica of resnet50-training-suburb
t= 618.0s | replica    | nano_421             | resnet50-training-suburb  | finish replica of resnet50-training-suburb
t= 619.0s | replica    | nano_881             | resnet50-inference        | deploy replica of resnet50-inference
t= 620.0s | replica    | nano_124             | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t= 621.0s | replica    | nano_1284            | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t= 622.0s | replica    | tx2_260              | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t= 623.0s | replica    | tx2_344              | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t= 624.0s | replica    | nano_123             | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t= 625.0s | replica    | nano_735             | resnet50-inference-airport | deploy replica of resnet50-inference-airport
t= 626.0s | replica    | nano_971             | resnet50-inference-port   | deploy replica of resnet50-inference-port
t= 627.0s | replica    | rpi3_474             | speech-inference          | deploy replica of speech-inference
t= 628.0s | replica    | rpi3_475             | speech-inference-downtown | deploy replica of speech-inference-downtown
t= 629.0s | replica    | rpi3_476             | speech-inference-suburb   | deploy replica of speech-inference-suburb
t= 630.0s | replica    | rockpi_434           | speech-inference-industrial | deploy replica of speech-inference-industrial
t= 631.0s | replica    | rockpi_434           | speech-inference-residential | deploy replica of speech-inference-residential
t= 632.0s | replica    | rockpi_434           | speech-inference-residential | startup replica of speech-inference-residential
t= 633.0s | replica    | rockpi_434           | speech-inference-residential | setup replica of speech-inference-residential
t= 634.0s | replica    | rockpi_423           | speech-inference-commercial | deploy replica of speech-inference-commercial
t= 635.0s | replica    | rockpi_423           | speech-inference-airport  | deploy replica of speech-inference-airport
t= 636.0s | replica    | rockpi_423           | speech-inference-airport  | startup replica of speech-inference-airport
t= 637.0s | replica    | rockpi_423           | speech-inference-airport  | setup replica of speech-inference-airport
t= 638.0s | replica    | nano_1137            | resnet50-training         | deploy replica of resnet50-training
t= 639.0s | replica    | nx_392               | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t= 640.0s | replica    | nano_501             | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t= 641.0s | replica    | rpi3_474             | speech-inference          | startup replica of speech-inference
t= 642.0s | replica    | rpi3_474             | speech-inference          | setup replica of speech-inference
t= 643.0s | replica    | rpi3_475             | speech-inference-downtown | startup replica of speech-inference-downtown
t= 644.0s | replica    | rpi3_475             | speech-inference-downtown | setup replica of speech-inference-downtown
t= 645.0s | replica    | rpi3_476             | speech-inference-suburb   | startup replica of speech-inference-suburb
t= 646.0s | replica    | rpi3_476             | speech-inference-suburb   | setup replica of speech-inference-suburb
t= 647.0s | replica    | rockpi_434           | speech-inference-industrial | startup replica of speech-inference-industrial
t= 648.0s | replica    | rockpi_434           | speech-inference-industrial | setup replica of speech-inference-industrial
t= 649.0s | replica    | rockpi_423           | speech-inference-commercial | startup replica of speech-inference-commercial
t= 650.0s | replica    | rockpi_423           | speech-inference-commercial | setup replica of speech-inference-commercial
t= 651.0s | replica    | nano_881             | resnet50-inference        | startup replica of resnet50-inference
t= 652.0s | replica    | nano_881             | resnet50-inference        | setup replica of resnet50-inference
t= 653.0s | replica    | nano_124             | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t= 654.0s | replica    | nano_124             | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t= 655.0s | replica    | nano_1284            | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t= 656.0s | replica    | nano_1284            | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t= 657.0s | replica    | tx2_260              | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t= 658.0s | replica    | tx2_260              | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t= 659.0s | replica    | tx2_344              | resnet50-inference-residential | startup replica of resnet50-inference-residential
t= 660.0s | replica    | tx2_344              | resnet50-inference-residential | setup replica of resnet50-inference-residential
t= 661.0s | replica    | nano_123             | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t= 662.0s | replica    | nano_123             | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t= 663.0s | replica    | nano_735             | resnet50-inference-airport | startup replica of resnet50-inference-airport
t= 664.0s | replica    | nano_735             | resnet50-inference-airport | setup replica of resnet50-inference-airport
t= 665.0s | replica    | nano_971             | resnet50-inference-port   | startup replica of resnet50-inference-port
t= 666.0s | replica    | nano_971             | resnet50-inference-port   | setup replica of resnet50-inference-port
t= 667.0s | replica    | nano_1137            | resnet50-training         | startup replica of resnet50-training
t= 668.0s | replica    | nano_1137            | resnet50-training         | setup replica of resnet50-training
t= 669.0s | replica    | nano_1137            | resnet50-training         | finish replica of resnet50-training
t= 670.0s | replica    | nx_392               | resnet50-training-downtown | startup replica of resnet50-training-downtown
t= 671.0s | replica    | nx_392               | resnet50-training-downtown | setup replica of resnet50-training-downtown
t= 672.0s | replica    | nx_392               | resnet50-training-downtown | finish replica of resnet50-training-downtown
t= 673.0s | replica    | nano_501             | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t= 674.0s | replica    | nano_501             | resnet50-training-suburb  | setup replica of resnet50-training-suburb
t= 675.0s | replica    | nano_501             | resnet50-training-suburb  | finish replica of resnet50-training-suburb
t= 676.0s | replica    | nano_1223            | resnet50-inference        | deploy replica of resnet50-inference
t= 677.0s | replica    | nx_323               | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t= 678.0s | replica    | nano_149             | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t= 679.0s | replica    | nano_490             | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t= 680.0s | replica    | nano_585             | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t= 681.0s | replica    | nano_635             | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t= 682.0s | replica    | nano_944             | resnet50-inference-airport | deploy replica of resnet50-inference-airport
t= 683.0s | replica    | nx_322               | resnet50-inference-port   | deploy replica of resnet50-inference-port
t= 684.0s | replica    | nx_90                | speech-inference          | deploy replica of speech-inference
t= 685.0s | replica    | nx_214               | speech-inference-downtown | deploy replica of speech-inference-downtown
t= 686.0s | replica    | coral_290            | speech-inference-suburb   | deploy replica of speech-inference-suburb
t= 687.0s | replica    | rockpi_335           | speech-inference-industrial | deploy replica of speech-inference-industrial
t= 688.0s | replica    | rockpi_335           | speech-inference-residential | deploy replica of speech-inference-residential
t= 689.0s | replica    | rockpi_335           | speech-inference-residential | startup replica of speech-inference-residential
t= 690.0s | replica    | rockpi_335           | speech-inference-residential | setup replica of speech-inference-residential
t= 691.0s | replica    | rockpi_373           | speech-inference-commercial | deploy replica of speech-inference-commercial
t= 692.0s | replica    | rockpi_373           | speech-inference-airport  | deploy replica of speech-inference-airport
t= 693.0s | replica    | rockpi_373           | speech-inference-airport  | startup replica of speech-inference-airport
t= 694.0s | replica    | rockpi_373           | speech-inference-airport  | setup replica of speech-inference-airport
t= 695.0s | replica    | nx_325               | resnet50-training         | deploy replica of resnet50-training
t= 696.0s | replica    | nano_405             | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t= 697.0s | replica    | nano_698             | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t= 698.0s | replica    | nx_90                | speech-inference          | startup replica of speech-inference
t= 699.0s | replica    | nx_90                | speech-inference          | setup replica of speech-inference
t= 700.0s | replica    | nx_214               | speech-inference-downtown | startup replica of speech-inference-downtown
t= 701.0s | replica    | nx_214               | speech-inference-downtown | setup replica of speech-inference-downtown
t= 702.0s | replica    | coral_290            | speech-inference-suburb   | startup replica of speech-inference-suburb
t= 703.0s | replica    | coral_290            | speech-inference-suburb   | setup replica of speech-inference-suburb
t= 704.0s | replica    | rockpi_335           | speech-inference-industrial | startup replica of speech-inference-industrial
t= 705.0s | replica    | rockpi_335           | speech-inference-industrial | setup replica of speech-inference-industrial
t= 706.0s | replica    | rockpi_373           | speech-inference-commercial | startup replica of speech-inference-commercial
t= 707.0s | replica    | rockpi_373           | speech-inference-commercial | setup replica of speech-inference-commercial
t= 708.0s | replica    | nano_1223            | resnet50-inference        | startup replica of resnet50-inference
t= 709.0s | replica    | nano_1223            | resnet50-inference        | setup replica of resnet50-inference
t= 710.0s | replica    | nx_323               | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t= 711.0s | replica    | nx_323               | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t= 712.0s | replica    | nano_149             | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t= 713.0s | replica    | nano_149             | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t= 714.0s | replica    | nano_490             | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t= 715.0s | replica    | nano_490             | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t= 716.0s | replica    | nano_585             | resnet50-inference-residential | startup replica of resnet50-inference-residential
t= 717.0s | replica    | nano_585             | resnet50-inference-residential | setup replica of resnet50-inference-residential
t= 718.0s | replica    | nano_635             | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t= 719.0s | replica    | nano_635             | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t= 720.0s | replica    | nano_944             | resnet50-inference-airport | startup replica of resnet50-inference-airport
t= 721.0s | replica    | nano_944             | resnet50-inference-airport | setup replica of resnet50-inference-airport
t= 722.0s | replica    | nx_322               | resnet50-inference-port   | startup replica of resnet50-inference-port
t= 723.0s | replica    | nx_322               | resnet50-inference-port   | setup replica of resnet50-inference-port
t= 724.0s | replica    | nx_325               | resnet50-training         | startup replica of resnet50-training
t= 725.0s | replica    | nx_325               | resnet50-training         | setup replica of resnet50-training
t= 726.0s | replica    | nx_325               | resnet50-training         | finish replica of resnet50-training
t= 727.0s | replica    | nano_405             | resnet50-training-downtown | startup replica of resnet50-training-downtown
t= 728.0s | replica    | nano_405             | resnet50-training-downtown | setup replica of resnet50-training-downtown
t= 729.0s | replica    | nano_405             | resnet50-training-downtown | finish replica of resnet50-training-downtown
t= 730.0s | replica    | nano_698             | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t= 731.0s | replica    | nano_698             | resnet50-training-suburb  | setup replica of resnet50-training-suburb
t= 732.0s | replica    | nano_698             | resnet50-training-suburb  | finish replica of resnet50-training-suburb
t= 733.0s | replica    | nano_737             | resnet50-inference        | deploy replica of resnet50-inference
t= 734.0s | replica    | nano_1046            | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t= 735.0s | replica    | nano_1119            | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t= 736.0s | replica    | nx_249               | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t= 737.0s | replica    | nx_375               | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t= 738.0s | replica    | tx2_322              | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t= 739.0s | replica    | tx2_357              | resnet50-inference-airport | deploy replica of resnet50-inference-airport
t= 740.0s | replica    | nano_745             | resnet50-inference-port   | deploy replica of resnet50-inference-port
t= 741.0s | replica    | rockpi_473           | speech-inference          | deploy replica of speech-inference
t= 742.0s | replica    | rockpi_473           | speech-inference-downtown | deploy replica of speech-inference-downtown
t= 743.0s | replica    | rockpi_473           | speech-inference-downtown | startup replica of speech-inference-downtown
t= 744.0s | replica    | rockpi_473           | speech-inference-downtown | setup replica of speech-inference-downtown
t= 745.0s | replica    | rockpi_24            | speech-inference-suburb   | deploy replica of speech-inference-suburb
t= 746.0s | replica    | rockpi_24            | speech-inference-industrial | deploy replica of speech-inference-industrial
t= 747.0s | replica    | rockpi_24            | speech-inference-industrial | startup replica of speech-inference-industrial
t= 748.0s | replica    | rockpi_24            | speech-inference-industrial | setup replica of speech-inference-industrial
t= 749.0s | replica    | rpi4_478             | speech-inference-residential | deploy replica of speech-inference-residential
t= 750.0s | replica    | rpi4_479             | speech-inference-commercial | deploy replica of speech-inference-commercial
t= 751.0s | replica    | nx_175               | speech-inference-airport  | deploy replica of speech-inference-airport
t= 752.0s | replica    | nano_873             | resnet50-training         | deploy replica of resnet50-training
t= 753.0s | replica    | nx_87                | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t= 754.0s | replica    | nano_556             | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t= 755.0s | replica    | rockpi_473           | speech-inference          | startup replica of speech-inference
t= 756.0s | replica    | rockpi_473           | speech-inference          | setup replica of speech-inference
t= 757.0s | replica    | rockpi_24            | speech-inference-suburb   | startup replica of speech-inference-suburb
t= 758.0s | replica    | rockpi_24            | speech-inference-suburb   | setup replica of speech-inference-suburb
t= 759.0s | replica    | rpi4_478             | speech-inference-residential | startup replica of speech-inference-residential
t= 760.0s | replica    | rpi4_478             | speech-inference-residential | setup replica of speech-inference-residential
t= 761.0s | replica    | rpi4_479             | speech-inference-commercial | startup replica of speech-inference-commercial
t= 762.0s | replica    | rpi4_479             | speech-inference-commercial | setup replica of speech-inference-commercial
t= 763.0s | replica    | nx_175               | speech-inference-airport  | startup replica of speech-inference-airport
t= 764.0s | replica    | nx_175               | speech-inference-airport  | setup replica of speech-inference-airport
t= 765.0s | replica    | nano_737             | resnet50-inference        | startup replica of resnet50-inference
t= 766.0s | replica    | nano_737             | resnet50-inference        | setup replica of resnet50-inference
t= 767.0s | replica    | nano_1046            | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t= 768.0s | replica    | nano_1046            | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t= 769.0s | replica    | nano_1119            | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t= 770.0s | replica    | nano_1119            | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t= 771.0s | replica    | nx_249               | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t= 772.0s | replica    | nx_249               | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t= 773.0s | replica    | nx_375               | resnet50-inference-residential | startup replica of resnet50-inference-residential
t= 774.0s | replica    | nx_375               | resnet50-inference-residential | setup replica of resnet50-inference-residential
t= 775.0s | replica    | tx2_322              | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t= 776.0s | replica    | tx2_322              | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t= 777.0s | replica    | tx2_357              | resnet50-inference-airport | startup replica of resnet50-inference-airport
t= 778.0s | replica    | tx2_357              | resnet50-inference-airport | setup replica of resnet50-inference-airport
t= 779.0s | replica    | nano_745             | resnet50-inference-port   | startup replica of resnet50-inference-port
